gameId,date,season,homeTeam,awayTeam,homeScore,awayScore,gameState
2024020060,2024-10-16,20242025,ANA,UTA,5,4,OFF
2024020090,2024-10-20,20242025,ANA,LAK,1,4,OFF
2024020105,2024-10-22,20242025,ANA,SJS,3,1,OFF
2024020191,2024-11-03,20242025,ANA,CHI,2,4,OFF
2024020203,2024-11-05,20242025,ANA,VAN,1,5,OFF
2024020222,2024-11-08,20242025,ANA,MIN,2,5,OFF
2024020238,2024-11-10,20242025,ANA,CBJ,4,2,OFF
2024020256,2024-11-13,20242025,ANA,VGK,2,3,OFF
2024020271,2024-11-15,20242025,ANA,DET,6,4,OFF
2024020317,2024-11-22,20242025,ANA,BUF,2,3,OFF
2024020343,2024-11-25,20242025,ANA,SEA,2,3,OFF
2024020370,2024-11-29,20242025,ANA,LAK,1,2,OFF
2024020392,2024-12-01,20242025,ANA,OTT,4,3,OFF
2024020408,2024-12-04,20242025,ANA,VGK,1,4,OFF
2024020424,2024-12-06,20242025,ANA,MIN,1,5,OFF
2024020511,2024-12-18,20242025,ANA,WPG,3,2,OFF
2024020527,2024-12-20,20242025,ANA,COL,2,4,OFF
2024020568,2024-12-28,20242025,ANA,PHI,1,3,OFF
2024020578,2024-12-29,20242025,ANA,EDM,5,3,OFF
2024020598,2024-12-31,20242025,ANA,NJD,3,2,OFF
2024020636,2025-01-05,20242025,ANA,TBL,4,1,OFF
2024020648,2025-01-07,20242025,ANA,CGY,2,3,OFF
2024020756,2025-01-21,20242025,ANA,FLA,2,5,OFF
2024020769,2025-01-23,20242025,ANA,PIT,5,1,OFF
2024020787,2025-01-25,20242025,ANA,NSH,5,2,OFF
2024020837,2025-02-02,20242025,ANA,MTL,3,2,OFF
2024020856,2025-02-04,20242025,ANA,DAL,2,1,OFF
2024020944,2025-02-27,20242025,ANA,VAN,5,2,OFF
2024020959,2025-03-01,20242025,ANA,CHI,3,6,OFF
2024021002,2025-03-07,20242025,ANA,STL,3,4,OFF
2024021020,2025-03-09,20242025,ANA,NYI,4,1,OFF
2024021033,2025-03-11,20242025,ANA,WSH,4,7,OFF
2024021053,2025-03-14,20242025,ANA,NSH,2,1,OFF
2024021123,2025-03-23,20242025,ANA,CAR,2,5,OFF
2024021142,2025-03-26,20242025,ANA,BOS,6,2,OFF
2024021158,2025-03-28,20242025,ANA,NYR,5,4,OFF
2024021176,2025-03-30,20242025,ANA,TOR,2,3,OFF
2024021190,2025-04-01,20242025,ANA,SJS,4,3,OFF
2024021232,2025-04-07,20242025,ANA,EDM,3,2,OFF
2024021249,2025-04-09,20242025,ANA,CGY,4,3,OFF
2024021284,2025-04-13,20242025,ANA,COL,2,4,OFF
2025020056,2025-10-14,20252026,ANA,PIT,4,3,OFF
2025020070,2025-10-16,20252026,ANA,CAR,1,4,OFF
2025020180,2025-10-31,20252026,ANA,DET,5,2,OFF
2025020197,2025-11-02,20252026,ANA,NJD,4,1,OFF
2025020211,2025-11-04,20252026,ANA,FLA,7,3,OFF
2025020251,2025-11-09,20252026,ANA,WPG,4,1,OFF
2025020306,2025-11-17,20252026,ANA,UTA,3,2,OFF
2025020318,2025-11-19,20252026,ANA,BOS,4,3,OFF
2025020329,2025-11-20,20252026,ANA,OTT,2,3,OFF
2025020346,2025-11-22,20252026,ANA,VGK,4,3,OFF
2025020374,2025-11-26,20252026,ANA,VAN,4,5,OFF
2025020384,2025-11-28,20252026,ANA,LAK,5,4,OFF
2025020424,2025-12-03,20252026,ANA,UTA,0,7,OFF
2025020440,2025-12-05,20252026,ANA,WSH,4,3,OFF
2025020460,2025-12-07,20252026,ANA,CHI,7,1,OFF
2025020548,2025-12-19,20252026,ANA,DAL,3,8,OFF
2025020560,2025-12-20,20252026,ANA,CBJ,4,3,OFF
2025020573,2025-12-22,20252026,ANA,SEA,1,3,OFF
2025020615,2025-12-29,20252026,ANA,SJS,4,5,OFF
2025020624,2025-12-31,20252026,ANA,TBL,3,4,OFF
2025020643,2026-01-02,20252026,ANA,MIN,2,5,OFF
2025020734,2026-01-13,20252026,ANA,DAL,3,1,OFF
2025020766,2026-01-17,20252026,ANA,LAK,2,1,OFF
2025020779,2026-01-19,20252026,ANA,NYR,5,3,OFF
2025020875,2026-02-01,20252026,ANA,VGK,4,3,OFF
2025020892,2026-02-03,20252026,ANA,SEA,4,2,OFF
2025020917,2026-02-25,20252026,ANA,EDM,6,5,OFF
2025020933,2026-02-27,20252026,ANA,WPG,5,4,OFF
2025020952,2026-03-01,20252026,ANA,CGY,3,2,OFF
2025020968,2026-03-03,20252026,ANA,COL,1,5,OFF
2025020973,2026-03-04,20252026,ANA,NYI,5,1,OFF
